Year,Jurisdiction,Gender,Average scale score
2003,Illinois,Female,219
2003,Indiana,Male,216
2003,Indiana,Female,224
2003,Iowa,Male,220
2003,Iowa,Female,227
2003,Kansas,Male,216
2003,Kansas,Female,224
2003,Kentucky,Male,215
2003,Kentucky,Female,223
2003,Louisiana,Male,200
2003,Louisiana,Female,210
2003,Maine,Male,221
2003,Maine,Female,226
2003,Maryland,Male,215
2003,Maryland,Female,222
2003,Massachusetts,Male,225
2003,Massachusetts,Female,231
2003,Michigan,Male,216
2003,Michigan,Female,222
2003,Minnesota,Male,216
2003,Minnesota,Female,229
2003,Mississippi,Male,202
2003,Mississippi,Female,209
2003,Missouri,Male,219
2003,Missouri,Female,226
2003,Montana,Male,218
2003,Montana,Female,228
2003,Nebraska,Male,218
2003,Nebraska,Female,223
2003,Nevada,Male,202
2003,Nevada,Female,211
2003,New Hampshire,Male,224
2003,New Hampshire,Female,232
2003,New Jersey,Male,222
2003,New Jersey,Female,229
2003,New Mexico,Male,201
2003,New Mexico,Female,206
2003,New York,Male,218
2003,New York,Female,226
2003,North Carolina,Male,216
2003,North Carolina,Female,227
2003,North Dakota,Male,218
2003,North Dakota,Female,225
2003,Ohio,Male,218
2003,Ohio,Female,226
2003,Oklahoma,Male,210
2003,Oklahoma,Female,217
2003,Oregon,Male,213
2003,Oregon,Female,223
2003,Pennsylvania,Male,215
